#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
620145540, 0.0, 6.868, 1.246, 7, 8, -77, 2, cc:f4:11:4b:fb:1b
620146053, 0.0, 7.298, 0.055, 7, 8, -77, 2, cc:f4:11:4b:fb:1b
620146570, 0.0, 7.376, 1.111, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620147081, 0.0, 7.181, 0.27, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620147579, 0.0, 7.21, 0.349, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620148076, 0.0, 6.829, 0.226, 7, 8, -77, 2, cc:f4:11:4b:fb:1b
620148600, 0.0, 7.181, 0.248, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620149105, 0.0, 7.141, 1.056, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620149617, 0.0, 7.142, 1.176, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620150123, 0.0, 7.142, 1.081, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620150633, 0.0, 7.102, 1.101, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620151140, 0.0, 7.22, 1.23, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620151647, 0.0, 6.917, 0.141, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620152156, 0.0, 6.888, 0.163, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620152671, 0.0, 6.8, 0.211, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620153175, 0.0, 6.888, 0.174, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620153687, 0.0, 6.771, 0.232, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620154193, 0.0, 6.771, 0.291, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620154703, 0.0, 6.741, 0.256, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620155212, 0.0, 6.624, 0.4, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620155728, 0.0, 6.771, 0.276, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620156233, 0.0, 6.8, 0.278, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620156746, 0.0, 6.741, 0.205, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620157257, 0.0, 6.771, 0.318, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620157755, 0.0, 6.858, 0.214, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620158263, 0.0, 6.946, 0.215, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620158777, 0.0, 6.8, 0.292, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620159282, 0.0, 7.034, 0.212, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620159795, 0.0, 6.858, 0.321, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620160307, 0.0, 6.888, 0.196, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620160820, 0.0, 6.917, 0.206, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620161330, 0.0, 6.8, 0.292, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620161827, 0.0, 6.712, 0.312, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
