#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621488349, 0.0, 6.64, 1.564, 7, 8, -69, 2, cc:f4:11:4b:fb:1b
621488859, 0.0, 8.04, 0.244, 7, 8, -70, 2, cc:f4:11:4b:fb:1b
621489369, 0.0, 7.923, 0.19, 7, 8, -70, 2, cc:f4:11:4b:fb:1b
621489878, 0.0, 8.001, 0.175, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621490389, 0.0, 7.923, 1.262, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621490897, 0.0, 8.001, 0.147, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621491407, 0.0, 7.962, 0.166, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621491916, 0.0, 7.962, 0.207, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621492425, 0.0, 7.923, 0.138, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621492939, 0.0, 7.962, 0.162, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621493451, 0.0, 8.001, 0.143, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621493962, 0.0, 8.001, 0.191, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621494476, 0.0, 7.962, 0.168, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621494985, 0.0, 7.962, 0.137, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621495498, 0.0, 7.962, 0.164, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621496007, 0.0, 8.04, 0.113, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621496519, 0.0, 8.001, 0.171, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621497029, 0.0, 7.923, 0.122, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621497537, 0.0, 7.923, 0.211, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621498048, 0.0, 7.923, 0.175, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621498562, 0.0, 8.001, 0.115, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621499067, 0.0, 7.884, 0.165, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621499572, 0.0, 7.923, 0.168, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621500088, 0.0, 7.884, 0.186, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621500599, 0.0, 7.962, 0.123, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621501109, 0.0, 8.04, 0.113, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621501618, 0.0, 8.001, 0.093, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621502129, 0.0, 7.845, 0.217, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621502642, 0.0, 7.962, 0.124, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621503152, 0.0, 8.001, 0.191, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621503665, 0.0, 7.923, 0.181, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621504177, 0.0, 7.923, 0.165, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621504685, 0.0, 8.001, 0.165, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621505197, 0.0, 8.04, 0.115, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621505708, 0.0, 7.923, 0.164, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621506220, 0.0, 7.972, 0.174, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621506730, 0.0, 8.04, 0.083, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621507241, 0.0, 8.001, 0.18, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621507753, 0.0, 8.04, 0.138, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621508265, 0.0, 7.962, 0.167, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621508776, 0.0, 7.884, 0.2, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621509284, 0.0, 7.962, 0.155, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621509795, 0.0, 7.884, 0.264, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621510305, 0.0, 8.001, 0.187, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
