#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621392474, 0.0, 3.825, 0.171, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621392985, 0.0, 3.747, 0.206, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621393490, 0.0, 3.708, 0.215, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621394001, 0.0, 3.903, 0.093, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621394508, 0.0, 3.786, 0.217, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621395012, 0.0, 3.825, 0.187, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621395523, 0.0, 3.864, 0.166, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621396034, 0.0, 3.903, 0.094, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621396543, 0.0, 3.786, 0.151, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621397054, 0.0, 3.747, 0.242, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621397552, 0.0, 3.786, 0.171, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621398069, 0.0, 3.864, 0.167, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621398582, 0.0, 3.786, 0.208, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621399092, 0.0, 3.903, 0.149, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621399598, 0.0, 3.825, 0.216, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621400116, 0.0, 3.864, 0.15, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621400626, 0.0, 3.747, 0.212, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621401141, 0.0, 3.903, 0.152, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621401653, 0.0, 3.903, 0.153, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621402154, 0.0, 3.747, 0.256, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621402658, 0.0, 3.825, 0.184, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621403167, 0.0, 3.825, 0.15, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621403679, 0.0, 3.825, 0.172, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621404188, 0.0, 3.747, 0.226, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
