#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621392473, 0.0, 1.774, 0.814, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621392985, 0.0, 1.208, 0.41, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621393490, 0.0, 1.95, 0.834, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621394000, 0.0, 1.452, 0.933, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621394508, 0.0, 1.423, 1.121, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621395012, 0.0, 1.804, 0.696, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621395523, 0.0, 1.892, 0.752, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621396034, 0.0, 1.95, 0.694, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621396543, 0.0, 1.921, 0.641, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621397054, 0.0, 1.862, 0.727, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621397552, 0.0, 1.804, 0.717, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621398069, 0.0, 1.804, 0.761, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621398581, 0.0, 1.95, 0.834, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621399092, 0.0, 1.95, 0.819, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621399598, 0.0, 1.921, 0.733, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621400116, 0.0, 1.921, 0.774, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621400626, 0.0, 1.833, 0.835, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621401141, 0.0, 1.921, 0.698, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621401653, 0.0, 1.921, 0.739, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621402154, 0.0, 1.892, 0.775, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621402657, 0.0, 1.95, 0.8, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621403167, 0.0, 1.862, 0.727, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621403679, 0.0, 1.862, 0.795, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621404188, 0.0, 1.833, 0.831, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621404699, 0.0, 1.833, 0.821, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621405206, 0.0, 1.892, 0.736, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621405718, 0.0, 1.921, 0.705, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621406227, 0.0, 1.862, 0.83, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621406722, 0.0, 1.833, 0.743, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621407239, 0.0, 1.804, 0.682, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621407749, 0.0, 1.862, 0.785, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621408261, 0.0, 1.921, 0.737, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621408772, 0.0, 1.95, 0.782, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621409281, 0.0, 1.862, 0.761, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621409790, 0.0, 1.921, 0.77, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621410301, 0.0, 1.95, 0.748, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621410812, 0.0, 1.95, 0.711, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621411320, 0.0, 1.862, 0.805, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621411830, 0.0, 1.921, 0.682, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621412342, 0.0, 1.833, 0.706, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621412845, 0.0, 1.862, 0.694, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621413362, 0.0, 1.892, 0.705, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621413865, 0.0, 1.862, 0.673, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621414381, 0.0, 1.921, 0.731, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621414892, 0.0, 1.862, 0.735, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621415401, 0.0, 1.892, 0.708, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621415909, 0.0, 1.95, 0.662, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621416408, 0.0, 1.921, 0.758, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621416930, 0.0, 1.921, 0.722, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621417445, 0.0, 1.862, 0.823, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621417951, 0.0, 1.892, 0.739, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621418458, 0.0, 1.892, 0.719, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621418969, 0.0, 1.98, 0.792, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621419484, 0.0, 1.921, 0.856, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621419994, 0.0, 1.833, 0.756, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621420506, 0.0, 1.98, 0.761, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621421015, 0.0, 1.804, 0.792, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621421521, 0.0, 1.921, 0.789, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621422024, 0.0, 1.892, 0.705, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621422543, 0.0, 1.921, 0.722, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621423054, 0.0, 1.804, 0.813, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621423567, 0.0, 1.862, 0.735, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621424078, 0.0, 1.95, 0.754, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621424591, 0.0, 1.892, 0.729, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621425092, 0.0, 1.95, 0.805, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621425605, 0.0, 1.862, 0.73, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621426114, 0.0, 1.833, 0.843, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621426617, 0.0, 1.892, 0.806, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621427132, 0.0, 1.862, 0.795, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
