#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
620288987, 0.0, 2.829, 0.401, 7, 8, -59, 2, b0:e4:d5:01:eb:5d
620289494, 0.0, 3.239, 0.418, 7, 8, -61, 2, b0:e4:d5:01:eb:5d
620289986, 0.0, 2.888, 0.24, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620290516, 0.0, 3.122, 0.192, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620291024, 0.0, 3.093, 0.125, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620291537, 0.0, 3.239, 0.075, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620292046, 0.0, 3.2, 0.083, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620292551, 0.0, 3.122, 0.082, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620293065, 0.0, 3.161, 0.085, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620293576, 0.0, 3.083, 0.125, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620294085, 0.0, 3.122, 0.176, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620294598, 0.0, 3.083, 0.14, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620295097, 0.0, 3.122, 0.1, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620295621, 0.0, 3.161, 0.163, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620296132, 0.0, 3.122, 0.134, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620296642, 0.0, 3.151, 0.122, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620297156, 0.0, 3.161, 0.106, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620297664, 0.0, 3.151, 0.123, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620298173, 0.0, 3.122, 0.101, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620298689, 0.0, 3.239, 0.106, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620299201, 0.0, 3.161, 0.178, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620299712, 0.0, 3.2, 0.116, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620300220, 0.0, 3.239, 0.124, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620300735, 0.0, 3.2, 0.105, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620301247, 0.0, 3.161, 0.089, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620301758, 0.0, 3.122, 0.101, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620302270, 0.0, 3.083, 0.185, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620302776, 0.0, 3.181, 0.105, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620303284, 0.0, 3.21, 0.074, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620303803, 0.0, 3.2, 0.099, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620304317, 0.0, 3.122, 0.131, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620304825, 0.0, 3.083, 0.121, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620305336, 0.0, 3.122, 0.101, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620305851, 0.0, 3.239, 0.123, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620306363, 0.0, 3.239, 0.151, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620306874, 0.0, 3.2, 0.123, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620307389, 0.0, 3.2, 0.08, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620307894, 0.0, 3.269, 0.056, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620308410, 0.0, 3.161, 0.127, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620308915, 0.0, 3.044, 0.166, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620309431, 0.0, 3.2, 0.088, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620309942, 0.0, 3.044, 0.165, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620310451, 0.0, 3.122, 0.122, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620310964, 0.0, 3.2, 0.118, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620311478, 0.0, 3.239, 0.085, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620311990, 0.0, 3.327, 0.08, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620312502, 0.0, 3.269, 0.107, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620313009, 0.0, 3.239, 0.107, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620313526, 0.0, 3.269, 0.121, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620314036, 0.0, 3.269, 0.06, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620314549, 0.0, 3.239, 0.08, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620315060, 0.0, 3.151, 0.122, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620315568, 0.0, 3.2, 0.098, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620316084, 0.0, 3.269, 0.105, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620316598, 0.0, 3.239, 0.087, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620317108, 0.0, 3.278, 0.109, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620317620, 0.0, 3.181, 0.097, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620318128, 0.0, 3.269, 0.105, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620318645, 0.0, 3.122, 0.194, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620319156, 0.0, 3.083, 0.138, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620319655, 0.0, 3.044, 0.151, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620320175, 0.0, 3.122, 0.11, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620320684, 0.0, 3.161, 0.101, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620321201, 0.0, 3.327, 0.127, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620321712, 0.0, 3.161, 0.105, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620322224, 0.0, 3.24, 0.086, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620322733, 0.0, 3.2, 0.09, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620323241, 0.0, 3.083, 0.185, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620323757, 0.0, 3.2, 0.115, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620324268, 0.0, 3.239, 0.141, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620324778, 0.0, 3.122, 0.115, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620325291, 0.0, 3.044, 0.163, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620325799, 0.0, 3.083, 0.153, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
