#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
620288987, 0.0, 4.958, 0.133, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620289494, 0.0, 1.794, 1.604, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620289986, 0.0, 2.068, 1.464, 7, 8, -56, 0, b0:e4:d5:1a:85:5d
620290516, 0.0, 4.45, 0.178, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620291024, 0.0, 4.528, 0.126, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620291537, 0.0, 4.372, 0.182, 7, 8, -58, 0, b0:e4:d5:1a:85:5d
620292046, 0.0, 4.567, 0.255, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620292551, 0.0, 4.45, 0.25, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620293065, 0.0, 4.294, 0.375, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620293576, 0.0, 4.45, 0.292, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620294085, 0.0, 4.489, 0.242, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620294598, 0.0, 3.982, 0.692, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620295098, 0.0, 4.45, 0.223, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620295621, 0.0, 4.45, 0.223, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620296133, 0.0, 3.786, 0.725, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620296642, 0.0, 3.864, 0.803, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620297156, 0.0, 4.411, 0.285, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620297664, 0.0, 4.372, 0.298, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620298173, 0.0, 3.825, 0.811, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620298689, 0.0, 3.864, 0.775, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620299201, 0.0, 3.903, 0.754, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620299713, 0.0, 3.708, 0.887, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620300220, 0.0, 4.528, 0.202, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620300736, 0.0, 4.45, 0.243, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620301247, 0.0, 3.786, 0.825, 7, 8, -58, 0, b0:e4:d5:1a:85:5d
