#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
620145540, 0.0, 2.732, 0.247, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620146053, 0.0, 3.044, 0.118, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620146570, 0.0, 3.21, 0.495, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620147081, 0.0, 3.005, 0.134, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620147579, 0.0, 3.161, 0.082, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620148076, 0.0, 3.083, 0.122, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620148600, 0.0, 3.083, 0.123, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620149106, 0.0, 3.122, 0.121, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620149617, 0.0, 3.161, 0.108, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620150123, 0.0, 3.269, 0.087, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620150633, 0.0, 3.21, 0.1, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620151141, 0.0, 3.298, 0.085, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620151647, 0.0, 3.122, 0.059, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620152156, 0.0, 3.122, 0.138, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620152672, 0.0, 3.122, 0.134, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620153175, 0.0, 3.122, 0.08, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620153687, 0.0, 2.966, 0.198, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620154193, 0.0, 3.161, 0.086, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620154703, 0.0, 3.181, 0.133, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620155212, 0.0, 3.181, 0.085, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620155729, 0.0, 3.151, 0.131, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620156233, 0.0, 3.298, 0.085, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620156746, 0.0, 3.21, 0.078, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620157257, 0.0, 3.122, 0.056, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620157755, 0.0, 3.151, 0.105, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620158263, 0.0, 3.2, 0.126, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620158778, 0.0, 3.122, 0.061, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620159282, 0.0, 3.151, 0.125, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620159795, 0.0, 3.122, 0.124, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620160307, 0.0, 3.122, 0.085, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620160820, 0.0, 3.005, 0.221, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620161330, 0.0, 3.122, 0.063, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620161827, 0.0, 3.21, 0.16, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620162355, 0.0, 3.161, 0.153, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620162864, 0.0, 3.044, 0.101, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620163377, 0.0, 3.181, 0.138, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620163892, 0.0, 3.161, 0.127, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620164402, 0.0, 3.083, 0.126, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620164915, 0.0, 3.034, 0.184, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620165422, 0.0, 3.083, 0.083, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620165934, 0.0, 3.083, 0.126, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620166441, 0.0, 3.122, 0.14, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620166950, 0.0, 3.044, 0.153, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620167459, 0.0, 3.181, 0.086, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620167973, 0.0, 3.093, 0.138, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620168483, 0.0, 3.122, 0.134, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620168995, 0.0, 3.093, 0.09, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620169507, 0.0, 3.21, 0.118, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620170019, 0.0, 3.005, 0.134, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620170532, 0.0, 3.151, 0.125, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620171033, 0.0, 3.005, 0.153, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620171555, 0.0, 3.151, 0.122, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
