#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621488349, 0.0, 4.786, 0.234, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621488859, 0.0, 4.903, 0.153, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621489369, 0.0, 4.864, 0.197, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621489878, 0.0, 4.786, 0.147, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621490389, 0.0, 4.786, 0.124, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621490897, 0.0, 4.747, 0.125, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621491407, 0.0, 4.903, 0.153, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621491916, 0.0, 4.864, 0.16, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621492426, 0.0, 4.786, 0.171, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621492939, 0.0, 4.825, 0.16, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621493452, 0.0, 4.786, 0.168, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621493962, 0.0, 4.825, 0.193, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621494476, 0.0, 4.864, 0.143, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621494986, 0.0, 4.903, 0.176, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621495498, 0.0, 4.903, 0.172, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621496007, 0.0, 4.825, 0.133, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621496519, 0.0, 4.825, 0.107, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621497029, 0.0, 4.825, 0.2, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621497537, 0.0, 4.825, 0.162, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621498048, 0.0, 4.786, 0.147, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621498563, 0.0, 4.864, 0.166, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621499068, 0.0, 4.825, 0.147, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621499572, 0.0, 4.903, 0.174, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621500088, 0.0, 4.786, 0.212, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621500599, 0.0, 4.747, 0.23, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621501110, 0.0, 4.943, 0.15, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621501618, 0.0, 4.786, 0.193, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621502129, 0.0, 4.786, 0.19, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621502642, 0.0, 4.786, 0.214, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621503152, 0.0, 4.786, 0.151, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621503666, 0.0, 4.747, 0.193, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621504178, 0.0, 4.825, 0.188, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621504685, 0.0, 4.786, 0.205, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621505197, 0.0, 4.864, 0.16, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621505708, 0.0, 4.786, 0.18, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621506220, 0.0, 4.864, 0.166, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621506730, 0.0, 4.825, 0.162, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621507242, 0.0, 4.747, 0.163, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621507753, 0.0, 4.786, 0.19, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621508266, 0.0, 4.825, 0.188, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621508776, 0.0, 4.786, 0.195, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621509284, 0.0, 4.435, 0.362, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621509796, 0.0, 4.903, 0.129, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621510305, 0.0, 4.864, 0.186, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621510816, 0.0, 4.864, 0.076, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621511325, 0.0, 4.786, 0.151, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621511836, 0.0, 4.786, 0.123, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621512347, 0.0, 4.786, 0.205, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621512860, 0.0, 4.864, 0.128, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621513372, 0.0, 4.903, 0.147, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621513859, 0.0, 4.903, 0.166, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621514384, 0.0, 4.747, 0.175, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621514894, 0.0, 4.903, 0.165, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621515405, 0.0, 4.903, 0.103, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621515916, 0.0, 4.864, 0.118, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621516425, 0.0, 4.747, 0.219, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621516935, 0.0, 4.786, 0.18, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621517445, 0.0, 4.825, 0.162, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621517958, 0.0, 4.747, 0.171, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621518469, 0.0, 4.903, 0.153, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621518981, 0.0, 4.825, 0.143, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621519490, 0.0, 4.825, 0.172, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621519987, 0.0, 4.903, 0.103, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621520509, 0.0, 4.825, 0.146, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621521019, 0.0, 4.864, 0.147, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621521524, 0.0, 4.903, 0.163, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621522030, 0.0, 4.972, 0.103, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621522546, 0.0, 4.786, 0.2, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621523059, 0.0, 4.825, 0.156, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621523566, 0.0, 4.943, 0.135, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621524078, 0.0, 4.864, 0.134, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621524588, 0.0, 4.903, 0.152, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621525099, 0.0, 4.786, 0.179, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621525605, 0.0, 4.825, 0.193, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621526119, 0.0, 4.786, 0.2, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621526629, 0.0, 4.864, 0.128, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621527136, 0.0, 4.825, 0.156, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621527648, 0.0, 4.903, 0.078, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621528159, 0.0, 4.903, 0.133, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621528669, 0.0, 4.825, 0.129, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621529181, 0.0, 4.825, 0.133, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621529692, 0.0, 4.825, 0.105, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621530203, 0.0, 4.864, 0.183, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
