#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621488349, 0.0, 1.482, 0.202, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621488859, 0.0, 1.833, 0.86, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621489369, 0.0, 1.716, 0.938, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621489878, 0.0, 1.833, 0.9, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621490389, 0.0, 2.273, 0.605, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621490897, 0.0, 1.628, 0.936, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621491407, 0.0, 1.745, 0.787, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621491916, 0.0, 1.862, 0.808, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621492426, 0.0, 1.804, 0.779, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621492939, 0.0, 1.804, 0.782, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621493451, 0.0, 1.804, 0.832, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621493962, 0.0, 1.774, 0.734, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621494476, 0.0, 1.862, 0.895, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621494985, 0.0, 1.833, 0.754, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621495498, 0.0, 1.804, 0.854, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621496007, 0.0, 1.833, 0.892, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621496519, 0.0, 1.804, 0.75, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621497029, 0.0, 1.892, 0.816, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621497537, 0.0, 1.892, 0.828, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621498048, 0.0, 1.774, 0.922, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621498562, 0.0, 1.862, 0.748, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621499067, 0.0, 1.774, 0.871, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621499572, 0.0, 1.833, 0.879, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621500088, 0.0, 1.804, 0.704, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621500599, 0.0, 1.774, 0.694, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621501110, 0.0, 1.804, 0.896, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621501618, 0.0, 1.833, 0.707, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621502129, 0.0, 1.804, 0.828, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621502642, 0.0, 1.774, 0.77, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621503152, 0.0, 1.833, 0.835, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621503665, 0.0, 1.862, 0.825, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
