#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
620288987, 0.0, 2.737, 0.401, 7, 8, -59, 2, b0:e4:d5:01:eb:5d
620289494, 0.0, 2.7, 0.418, 7, 8, -61, 2, b0:e4:d5:01:eb:5d
620289986, 0.0, 2.74, 0.24, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620290516, 0.0, 2.73, 0.192, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620291024, 0.0, 2.7, 0.125, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620291537, 0.0, 2.65, 0.075, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620292046, 0.0, 2.75, 0.083, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620292551, 0.0, 2.69, 0.082, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620293065, 0.0, 2.738, 0.085, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
620293576, 0.0, 2.9, 0.125, 7, 8, -58, 2, b0:e4:d5:01:eb:5d
620294085, 0.0, 3.122, 0.176, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
