#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
620288987, 0.0, 3.245, 0.133, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620289494, 0.0, 3.000, 1.604, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620289986, 0.0, 3.24, 1.464, 7, 8, -56, 0, b0:e4:d5:1a:85:5d
620290516, 0.0, 3.25, 0.178, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620291024, 0.0, 3.23, 0.126, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620291537, 0.0, 3.244, 0.182, 7, 8, -58, 0, b0:e4:d5:1a:85:5d
620292046, 0.0, 3.242, 0.255, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620292551, 0.0, 3.2, 0.25, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620293065, 0.0, 3.3, 0.375, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620293576, 0.0, 3.45, 0.292, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
620294085, 0.0, 4.489, 0.242, 7, 8, -57, 0, b0:e4:d5:1a:85:5d
