#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
620288987, 0.0, 5.106, 0.939, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620289494, 0.0, 5.12, 0.189, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620289986, 0.0, 5.23, 1.399, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620290516, 0.0, 5.11, 1.676, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620291024, 0.0, 5.1, 1.232, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
620291537, 0.0, 5.00, 0.342, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620292046, 0.0, 5.12, 1.142, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620292551, 0.0, 5.15, 1.294, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620293065, 0.0, 5.107, 1.171, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620293576, 0.0, 5.2, 1.044, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620294085, 0.0, 7.259, 1.144, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
