#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621587819, 0.0, 6.027, 0.43, 7, 8, -72, 2, cc:f4:11:4b:fb:1b
621588334, 0.0, 5.962, 0.41, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621588842, 0.0, 6.03, 0.561, 7, 8, -72, 2, cc:f4:11:4b:fb:1b
621589350, 0.0, 6.05, 0.385, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621589865, 0.0, 6.127, 0.25, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621590376, 0.0, 6.000, 0.261, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621590880, 0.0, 6.03, 0.191, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621591391, 0.0, 6.067, 0.139, 7, 8, -72, 2, cc:f4:11:4b:fb:1b
621591903, 0.0, 6.089, 0.126, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621592414, 0.0, 6.32, 0.145, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621592923, 0.0, 8.04, 0.155, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
