#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621587819, 0.0, 4.689, 0.2, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621588334, 0.0, 4.68, 0.193, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621588842, 0.0, 4.69, 0.174, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621589351, 0.0, 4.6, 0.243, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621589865, 0.0, 4.7, 0.153, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621590376, 0.0, 4.589, 0.175, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621590880, 0.0, 4.789, 0.193, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621591392, 0.0, 4.532, 0.117, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621591903, 0.0, 4.780, 0.147, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621592414, 0.0, 4.576, 0.165, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621592923, 0.0, 3.786, 0.207, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
