#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621587819, 0.0, 2.441, 1.055, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621588334, 0.0, 2.443, 0.965, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621588842, 0.0, 2.45, 0.803, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621589350, 0.0, 2.54, 0.683, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621589865, 0.0, 2.35, 0.949, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621590376, 0.0, 2.43, 0.791, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621590880, 0.0, 2.441, 0.821, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621591391, 0.0, 2.432, 0.866, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621591903, 0.0, 2.421, 0.957, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621592414, 0.0, 2.452, 0.871, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621592923, 0.0, 1.833, 0.858, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
